commune_code,commune_name,postal_code,dept_code,region_code,population
01001,L'Abergement-Clémenciat,01400,01,84,860
01002,L'Abergement-de-Varey,01640,01,84,270
01004,Ambérieu-en-Bugey,01500,01,84,15934
01005,Ambérieux-en-Dombes,01330,01,84,1906
01006,Ambléon,01300,01,84,115
01007,Ambronay,01500,01,84,2841
01008,Ambutrix,01500,01,84,760
01009,Andert-et-Condon,01300,01,84,348
01010,Anglefort,01350,01,84,1174
01011,Apremont,01100,01,84,415
01012,Aranc,01110,01,84,331
01013,Arandas,01230,01,84,138
01014,Arbent,01100,01,84,3555
01015,Arboys en Bugey,01300,01,84,710
01016,Arbigny,01190,01,84,462
01017,Argis,01230,01,84,419
01019,Armix,01510,01,84,25
01021,Ars-sur-Formans,01480,01,84,1528
01022,Artemare,01510,01,84,1139
01023,Asnières-sur-Saône,01570,01,84,78
01024,Attignat,01340,01,84,3409
01025,Bâgé-Dommartin,01380,01,84,4050
01026,Bâgé-le-Châtel,01380,01,84,971
01027,Balan,01360,01,84,3077
01028,Baneins,01990,01,84,621
01029,Beaupont,01270,01,84,734
01030,Beauregard,01480,01,84,872
01031,Bellignat,01100,01,84,3525
01032,Béligneux,01360,01,84,3535
01033,Valserhône,01200,01,84,16712
01034,Belley,01300,01,84,9388
01035,Belleydoux,01130,01,84,306
01036,Valromey-sur-Séran,01260,01,84,1351
01037,Bénonces,01470,01,84,311
01038,Bény,01370,01,84,777
01040,Béréziat,01340,01,84,475
01041,Bettant,01500,01,84,774
01042,Bey,01290,01,84,286
01043,Beynost,01700,01,84,5198
01044,Billiat,01200,01,84,713
01045,Birieux,01330,01,84,275
01046,Biziat,01290,01,84,889
01047,Blyes,01150,01,84,1401
01049,La Boisse,01120,01,84,3449
01050,Boissey,01190,01,84,396
01051,Bolozon,01450,01,84,103
01052,Bouligneux,01330,01,84,318
01053,Bourg-en-Bresse,01000,01,84,42372
01054,Bourg-Saint-Christophe,01800,01,84,1562
01056,Boyeux-Saint-Jérôme,01640,01,84,367
01057,Boz,01190,01,84,513
01058,Brégnier-Cordon,01300,01,84,804
01060,Brénod,01110,01,84,576
01061,Brens,01300,01,84,1123
01062,Bressolles,01360,01,84,1028
01063,Brion,01460,01,84,592
01064,Briord,01470,01,84,1119
01065,Buellas,01310,01,84,1899
01066,La Burbanche,01510,01,84,98
01067,Ceignes,01430,01,84,257
01068,Cerdon,01450,01,84,747
01069,Certines,01240,01,84,1531
01071,Cessy,01170,01,84,5832
01072,Ceyzériat,01250,01,84,3328
01073,Ceyzérieu,01350,01,84,1064
01074,Chalamont,01320,01,84,2533
01075,Chaleins,01480,01,84,1505
01076,Chaley,01230,01,84,129
01077,Challes-la-Montagne,01450,01,84,184
01078,Challex,01630,01,84,1632
01079,Champagne-en-Valromey,01260,01,84,831
01080,Champdor-Corcelles,01110,01,84,665
01081,Champfromier,01410,01,84,725
01082,Chanay,01420,01,84,574
01083,Chaneins,01990,01,84,1046
01084,Chanoz-Châtenay,01400,01,84,989
01085,La Chapelle-du-Châtelard,01240,01,84,388
01087,Charix,01130,01,84,280
01088,Charnoz-sur-Ain,01800,01,84,951
01089,Château-Gaillard,01500,01,84,2443
01090,Châtenay,01320,01,84,373
01092,Châtillon-la-Palud,01320,01,84,1698
01093,Châtillon-sur-Chalaronne,01400,01,84,5250
01094,Chavannes-sur-Reyssouze,01190,01,84,726
01095,Nivigne et Suran,01250,01,84,820
01096,Chaveyriat,01660,01,84,1078
01098,Chazey-Bons,01300,01,84,1142
01099,Chazey-sur-Ain,01150,01,84,1632
01100,Cheignieu-la-Balme,01510,01,84,131
