code_iris,median_income,poverty_rate,income_d1,income_d9,income_inequality_ratio,gini_index,income_q1,income_q3,code_insee
010040101,20350.0,19.0,11620.0,32060.0,2.8,0.237,14990.0,26140.0,01004
010040102,18570.0,25.0,10580.0,31130.0,2.9,0.246,13880.0,24760.0,01004
010040201,20700.0,19.0,11400.0,34450.0,3.0,0.262,15190.0,27180.0,01004
010040202,25230.0,8.0,14810.0,41230.0,2.8,0.295,19600.0,33170.0,01004
010330102,20420.0,24.0,9410.0,42390.0,4.5,0.328,14050.0,29640.0,01033
010330103,24060.0,17.0,10700.0,49310.0,4.6,0.336,16270.0,35760.0,01033
010330201,25980.0,15.0,11760.0,53670.0,4.6,0.325,17940.0,36690.0,01033
010330202,19630.0,26.0,10290.0,40430.0,3.9,0.303,13750.0,28050.0,01033
010330301,22360.0,19.0,11260.0,43590.0,3.9,0.287,15590.0,31880.0,01033
010330401,28590.0,8.0,15290.0,54750.0,3.6,0.302,20830.0,39750.0,01033
010340101,22950.0,9.0,14270.0,36950.0,2.6,0.241,18550.0,29260.0,01034
010340102,20930.0,17.0,11780.0,36550.0,3.1,0.253,15690.0,27660.0,01034
010340103,18170.0,31.0,10030.0,34540.0,3.4,0.303,12750.0,25270.0,01034
010530101,20960.0,22.0,10930.0,39090.0,3.6,0.336,14740.0,29130.0,01053
010530102,21540.0,19.0,10710.0,37730.0,3.5,0.284,15450.0,28940.0,01053
010530103,23190.0,19.0,11110.0,46120.0,4.2,0.356,15680.0,32620.0,01053
010530201,20970.0,17.0,11300.0,36700.0,3.2,0.285,15880.0,27800.0,01053
010530202,17410.0,33.0,9250.0,31780.0,3.4,0.293,12330.0,23700.0,01053
010530203,21400.0,20.0,11180.0,37110.0,3.3,0.271,15810.0,28020.0,01053
010530301,23670.0,14.0,12180.0,44120.0,3.6,0.297,17430.0,31880.0,01053
010530302,20530.0,22.0,10810.0,36710.0,3.4,0.296,14480.0,27070.0,01053
010530401,20730.0,23.0,11260.0,34780.0,3.1,0.254,14490.0,27470.0,01053
010530402,24280.0,11.0,13520.0,37820.0,2.8,0.231,18300.0,30250.0,01053
010530501,24450.0,13.0,13100.0,40200.0,3.1,0.271,17810.0,30820.0,01053
010530502,21660.0,18.0,11640.0,39660.0,3.4,0.294,15570.0,29690.0,01053
010530503,15240.0,42.0,8560.0,25440.0,3.0,0.27,11640.0,19900.0,01053
010530601,16240.0,36.0,9150.0,29010.0,3.2,0.253,12500.0,22390.0,01053
010530602,15100.0,43.0,8750.0,25650.0,2.9,0.252,11450.0,20480.0,01053
010530603,14690.0,45.0,8850.0,23510.0,2.7,0.218,11440.0,18590.0,01053
010530604,22280.0,15.0,11170.0,34840.0,3.1,0.267,16670.0,28360.0,01053
010530701,22280.0,14.0,12280.0,34490.0,2.8,0.277,17300.0,27870.0,01053
011430101,43380.0,9.0,14510.0,100500.0,6.9,0.395,25670.0,68210.0,01143
