structure,nom1,nom2,adresse1,adresse2,cp,ville,longitude,latitude,coordonnees_geoloc,coordonnees_ban,region,coordonnees_finales.lon,coordonnees_finales.lat,coordonnees_finales
Centre d’art,LE 10 NEUF  CENTRE D'ART CONTEMPORAIN,,"19, avenue des Alliés",,25200.0,MONTBÉLIARD CEDEX,,,,"47.510623, 6.800619",Bourgogne-Franche-Comté,6.800619,47.510623,
SMAC,Des lendemains qui chantent,Asso.de Lendemains qui chantent,Avenue du Lieutenant Colonel,Faro L'Auzelou,19000.0,TULLE,,,,"45.280697, 1.786088",Nouvelle-Aquitaine,1.786088,45.280697,
FRAC,Fonds régional d'art contemporain AQUITAINE,,1 quai Armand Lalande,,33000.0,BORDEAUX,,,,,,,,
Orchestre Permanent,Orchestre symphonique et lyrique de Nancy,,"1, rue Sainte Catherine",,54000.0,NANCY,6.183877,48.69375500000001,"48.69375500000001,6.183877","48.693985, 6.184578",Grand Est,6.183877,48.69375500000001,
Centre national des arts de la rue,Atelier 231,,1 rue Denis Papin,,76300.0,SOTTEVILLE-LES-ROUEN,1.098532,49.41700800000001,"49.41700800000001,1.098532","49.417564, 1.098308",Normandie,1.098532,49.41700800000001,
SMAC,Le Noumatrouff,Association Fédération Hiéro Mulhouse,,C/O Fédération Hiéro BP 31 35,68100.0,MULHOUSE,,,,"47.748451, 7.338023",Grand Est,7.338023,47.748451,
Centre d’art,GALERIE MARCEL DUCHAMP,CENTRE D'ART CONTEMPORAIN,"7-9, rue Percée",,76190.0,YVETOT,,,,"49.618068, 0.755523",Normandie,0.755523,49.618068,
Centre chorégraphique national,Centre chorégraphique national du Havre Haute-Normandie,,"30, rue des Briquetiers",,76600.0,Le Havre,0.13529699999999997,49.492759,"49.492759,0.13529699999999997","49.492636, 0.134967",Normandie,0.135296999999999,49.492759,
Centre chorégraphique national,Ballet de Lorraine,,"3, rue Henri Bazin",,54010.0,Nancy cedex,6.1905149999999995,48.695758,"48.695758,6.1905149999999995",,Grand Est,6.190514999999999,48.695758,
FRAC,Fonds régional d'art contemporain LANGUEDOC-ROUSSILLON,,4 rue Rimbaud,,34000.0,MONTPELLIER,,,,"43.613815, 3.889162",Occitanie,3.889162,43.613815,
Centre d’art,LE BBB,,"96, rue Michel-Ange",,31200.0,TOULOUSE,,,,"43.626865, 1.447559",Occitanie,1.447559,43.626865,
SMAC en cours de labellisation,Le Tétris,Papa's production,"55, rue de 329 RI",Fort de Tourneville /,76620.0,LE HAVRE,,,,"49.519412, 0.101015",Normandie,0.101015,49.519412,
FRAC,Fonds régional d'art contemporain CORSE,,Citadelle de Corte,,20250.0,CORTE,,,,"42.304761, 9.148926",Corse,9.148926,42.304761,
Centre d’art,LE POINT DU JOUR,CENTRE REGIONAL DE PHOTOGRAPHIE,"109, avenue de Paris",,50100.0,CHERBOURG-OCTEVILLE,,,,"49.632506, -1.61739",Normandie,-1.61739,49.632506,
Scène Nationale,Théâtre de l’Agora - Scène nationale,,Place de l’Agora,BP 46,91000.0,ÉVRY Cedex,2.43571,48.629175,"48.629175,2.43571","48.627934, 2.429845",Île-de-France,2.4357100000000003,48.629175,
Orchestre Permanent,Orchestre des Pays de Savoie,,"6, rue Métropole",,73000.0,Chambéry,5.921964000000001,45.56494999999998,"45.56494999999998,5.921964000000001","45.564903, 5.921836",Auvergne-Rhône-Alpes,5.921964000000001,45.56494999999998,
SMAC,SMAC Aire Urbaine Montbéliard Belfort : Le Moloco et La Poudrière,,"21, rue de Seloncourt",co/Le Moloco,25400.0,AUDINCOURT,,,,"47.47866, 6.842865",Bourgogne-Franche-Comté,6.842865,47.47866,
SMAC en cours de labellisation,Le Bikini,Patricia Sansonneto entrepreneur de spectacle,rue Théodore Monod,"Parc technologique du canal,",31520.0,RAMONVILLE-SAINT-AGNE,,,,"43.542625, 1.456742",Occitanie,1.456742,43.542625,
FRAC,Fonds régional d'art contemporain CHAMPAGNE-ARDENNE,,"Le Collège - 1, place Museux",,51100.0,REIMS,,,,"49.246527, 4.040071",Grand Est,4.040071,49.246527,
Centre d’art,CENTRE DE RECHERCHE ET DE DIFFUSION DE,L'ART CONTEMPORAIN - CREDAC,,Galerie Fernand Léger,94200.0,IVRY-SUR-SEINE,,,,"48.813298, 2.387205",Île-de-France,2.387205,48.813298,
SMAC,L'Orange Bleue,Bords 2 Scènes,4 rue Auguste Choisy,Quartier des Bords de marne,51300.0,VITRY-LE-FRANCOIS,,,,"48.726411, 4.578533",Grand Est,4.578533,48.726411,
Scène Nationale,MC93 - Scène nationale,,"1, boulevard Lénine",BP 71,93000.0,BOBIGNY Cedex,2.4401029999999997,48.90646699999999,"48.90646699999999,2.4401029999999997","48.90655, 2.441855",Île-de-France,2.440102999999999,48.90646699999999,
Scène Nationale,Théâtre de Saint-Quentin-en-Yvelines,,3 Place Georges Pompidou,MONTIGNY-LE-BRETONNEUX,78180.0,Montigny-le-Bretonneux,,,,"48.783134, 2.043367",Île-de-France,2.043367,48.783134,
SMAC,La Gespe,Gespe animations et spectacles,"23, rue Paul Cézanne",,65000.0,TARBES,,,,"43.225966, 0.058536",Occitanie,0.058536,43.225966,
SMAC,Vip,Les Escales de Saint-Nazaire,Boulevard de la légion d'honneur,Alvéole 14,44600.0,SAINT-NAZAIRE,,,,"47.275161, -2.204005",Pays de la Loire,-2.204005,47.275161,
SMAC en cours de labellisation,L'Abordage,Association Abordage,"1, avenue Aristide Briand",,27000.0,EVREUX,,,,"49.021706, 1.137817",Normandie,1.137817,49.021706,
Centre Dramatique National,THEATRE DU PORT DE LA LUNE,CENTRE DRAMATIQUE NATIONAL DE BORDEAUX AQUITAINE,3 square Jean Vauthier,B.P. 7,33032.0,BORDEAUX CEDEX,-0.547703,44.88325400000001,"44.88325400000001,-0.547703",,Nouvelle-Aquitaine,-0.5477029999999999,44.88325400000001,
