dept_code,total_music_venues,smac_count,population,area_km2,music_density_per_100k,smac_percentage,has_smac
01,5,0,679344,,0.7360041451753456,0.0,0
02,6,0,523342,7361.7,1.146477829029583,0.0,0
03,3,0,333298,7340.1,0.900095410113472,0.0,0
04,3,0,168054,6925.2,1.7851404905566068,0.0,0
05,2,0,143467,5548.7,1.3940488056486857,0.0,0
06,12,0,1128418,4298.6,1.0634357126525809,0.0,0
07,5,0,334231,5528.6,1.495971349156721,0.0,0
08,1,0,265893,5229.4,0.3760911344036887,0.0,0
09,2,0,155722,4889.9,1.2843400418694852,0.0,0
10,5,0,310447,6004.2,1.6105808720973305,0.0,0
11,11,0,379648,6139.0,2.89742076871207,0.0,0
12,1,0,279609,8735.1,0.35764227903965895,0.0,0
13,14,4,2087658,5087.5,0.6706079252444606,28.57142857142857,1
14,8,2,709441,5534.5,1.1276483879561514,25.0,1
15,1,0,144196,5726.0,0.6935005131903798,0.0,0
16,2,1,352683,5956.0,0.567081486774242,50.0,1
17,4,1,672279,6863.8,0.5949910676965962,25.0,1
18,7,1,298660,7235.0,2.3438023170160047,14.285714285714285,1
19,2,1,240826,5856.8,0.8304751148131846,50.0,1
21,8,1,540100,8763.2,1.4812071838548417,12.5,1
22,5,1,611859,6877.6,0.817181736315066,20.0,1
23,1,0,115527,5565.4,0.865598518095337,0.0,0
24,3,0,417614,9060.0,0.7183667214221746,0.0,0
25,4,2,547163,5232.6,0.731043582990809,50.0,1
26,5,1,524207,6530.0,0.9538216773144961,20.0,1
27,8,1,602714,6039.9,1.3273293801039963,12.5,1
28,4,0,433129,5880.0,0.9235123946907273,0.0,0
29,3,2,933455,6733.0,0.3213866763796862,66.66666666666666,1
2A,2,0,168306,4014.2,1.18831176547479,0.0,0
2B,1,0,187180,4665.6,0.5342451116572283,0.0,0
30,13,1,770940,5852.8,1.686253145510675,7.6923076923076925,1
31,7,1,1471468,6309.3,0.47571540801430956,14.285714285714285,1
33,9,4,1690493,9975.6,0.5323890723002107,44.44444444444444,1
34,8,1,1230289,6101.0,0.6502537208737134,12.5,1
35,11,3,1120666,6774.7,0.9815591799876144,27.27272727272727,1
36,1,0,216069,6790.6,0.4628151192443155,0.0,0
37,6,2,619362,6126.7,0.968738798957637,33.33333333333333,1
38,15,2,1298990,7431.5,1.1547433005642846,13.333333333333334,1
39,3,1,257973,4999.2,1.162912397809073,33.33333333333333,1
40,2,0,433570,9242.6,0.4612865281269461,0.0,0
41,1,1,328543,6343.4,0.30437416106871856,100.0,1
42,6,1,774133,4780.6,0.7750606161990251,16.666666666666664,1
43,1,0,228654,4977.1,0.43734201019881563,0.0,0
44,7,3,1487570,6874.4,0.470566091007482,42.857142857142854,1
45,7,1,691268,6775.2,1.0126318591342287,14.285714285714285,1
46,1,1,176473,5216.5,0.5666589223280615,100.0,1
47,3,1,333602,5360.9,0.8992751842015335,33.33333333333333,1
48,1,0,76486,5166.9,1.3074288105012681,0.0,0
49,3,1,833776,7106.6,0.35980886952850644,33.33333333333333,1
50,2,1,497522,5951.5,0.4019922737084993,50.0,1
51,5,2,563076,8169.1,0.8879795977807613,40.0,1
52,2,0,168331,6210.6,1.1881352810831043,0.0,0
53,4,1,305468,5175.2,1.3094661306585305,25.0,1
54,4,1,732236,5245.9,0.5462719669614714,25.0,1
55,2,1,180290,6211.4,1.1093238671030008,50.0,1
56,3,2,783390,6822.6,0.3829510205644698,66.66666666666666,1
57,8,2,1051309,6216.3,0.7609561032959862,25.0,1
58,1,0,201417,6816.7,0.4964824220398477,0.0,0
59,21,2,2615635,5742.8,0.8028643140193491,9.523809523809524,1
60,4,2,829899,5860.2,0.4819863621958817,50.0,1
61,2,1,275201,6103.4,0.7267415452705478,50.0,1
62,7,0,1457905,6671.4,0.48014102427798794,0.0,0
63,5,1,664453,7969.7,0.7524986718398442,20.0,1
64,3,1,706564,7644.8,0.42458998760197236,33.33333333333333,1
65,1,1,231349,4464.0,0.43224738382270944,100.0,1
66,2,0,496855,4116.0,0.40253192581336605,0.0,0
67,7,2,1163810,4755.0,0.6014727489882369,28.57142857142857,1
68,5,1,770738,3525.2,0.6487288806312911,20.0,1
69,17,0,1914667,3249.1,0.8878828537808402,0.0,0
70,1,1,233185,5360.1,0.42884405086090444,100.0,1
71,8,1,550310,8574.7,1.4537260816630626,12.5,1
72,3,0,566733,6206.0,0.5293497996411008,0.0,0
73,4,0,448226,6028.3,0.8924069554198106,0.0,0
74,7,1,861158,4387.8,0.8128589643247813,14.285714285714285,1
75,44,0,2103778,105.4,2.091475431343041,0.0,0
76,16,2,1260964,6277.6,1.2688704832176019,12.5,1
77,12,2,1468108,5915.3,0.817378557980748,16.666666666666664,1
78,18,2,1485086,2284.4,1.212051019267571,11.11111111111111,1
79,3,1,375229,5999.4,0.7995117648156194,33.33333333333333,1
80,4,1,565413,6170.1,0.7074474764464206,25.0,1
81,2,1,397352,5757.9,0.5033320582254525,50.0,1
82,1,1,265817,3718.3,0.37619866298995175,100.0,1
83,9,1,1119307,5972.5,0.8040689462319096,11.11111111111111,1
84,13,3,572056,3567.3,2.2725047897408643,23.076923076923077,1
85,3,1,713609,6719.6,0.42039828533552687,33.33333333333333,1
