smac_status,smac_name,operator_name,cp,city,region,latitude,longitude,dept_code
SMAC,Le 106,106 REM,76100,ROUEN,Normandie,,,76
SMAC,Le Pannonica,NAJA Association Nantes Jazz Action,44000,NANTES,Pays de la Loire,,,44
SMAC,La Clef,"Association pour la culture, les loisirs et la formation",78100,SAINT-GERMAIN-EN-LAYE,Île-de-France,,,78
SMAC,La Coopérative de Mai,Association Pop'art,63100,CLERMONT-FERRAND,Auvergne-Rhône-Alpes,,,63
SMAC,Les Passagers du Zinc,association Des Deux Mains,84000,AVIGNON,Provence-Alpes-Côte d'Azur,,,84
SMAC,Des lendemains qui chantent,Asso.de Lendemains qui chantent,19000,TULLE,Nouvelle-Aquitaine,,,19
SMAC,Le Noumatrouff,Association Fédération Hiéro Mulhouse,68100,MULHOUSE,Grand Est,,,68
SMAC en cours de labellisation,Le Tétris,Papa's production,76620,LE HAVRE,Normandie,,,76
SMAC,SMAC Aire Urbaine Montbéliard Belfort : Le Moloco et La Poudrière,None,25400,AUDINCOURT,Bourgogne-Franche-Comté,,,25
SMAC en cours de labellisation,Le Bikini,Patricia Sansonneto entrepreneur de spectacle,31520,RAMONVILLE-SAINT-AGNE,Occitanie,,,31
SMAC,CC Paul Bailliart,None,91300,MASSY,Île-de-France,,,91
SMAC,Penn Ar Jazz,Assciation Penn Ar Jazz,29200,BREST,Bretagne,,,29
SMAC,La Citrouille,La Citrouille,22000,SAINT BRIEUC,Bretagne,,,22
SMAC,L'Orange Bleue,Bords 2 Scènes,51300,VITRY-LE-FRANCOIS,Grand Est,,,51
SMAC,La Gespe,Gespe animations et spectacles,65000,TARBES,Occitanie,,,65
SMAC,Vip,Les Escales de Saint-Nazaire,44600,SAINT-NAZAIRE,Pays de la Loire,,,44
SMAC en cours de labellisation,L'Abordage,Association Abordage,27000,EVREUX,Normandie,,,27
SMAC,La Cordonnerie,None,26100,ROMANS,Auvergne-Rhône-Alpes,,,26
SMAC,Le Normandy,Ecran Sonique,50000,ST LO,Normandie,,,50
SMAC en cours de labellisation,Echonova (projet SMAC de département),R.E.M.A. L’Echonova,56890,Saint-Avé,Bretagne,,,56
SMAC,Le Gueulard +,None,57240,NILVANGE,Grand Est,,,57
SMAC,La Luciole,Association Eurêka,61000,ALENCON,Normandie,,,61
SMAC,Temps Machine,Travaux Publics,37300,JOUE-LES-TOURS,Centre-Val de Loire,,,37
