cp,ville,region,latitude,longitude
76100.0,ROUEN,Normandie,,
44000.0,NANTES,Pays de la Loire,,
78100.0,SAINT-GERMAIN-EN-LAYE,Île-de-France,,
63100.0,CLERMONT-FERRAND,Auvergne-Rhône-Alpes,,
84000.0,AVIGNON,Provence-Alpes-Côte d'Azur,,
19000.0,TULLE,Nouvelle-Aquitaine,,
68100.0,MULHOUSE,Grand Est,,
76620.0,LE HAVRE,Normandie,,
25400.0,AUDINCOURT,Bourgogne-Franche-Comté,,
31520.0,RAMONVILLE-SAINT-AGNE,Occitanie,,
7100.0,ANNONAY,Auvergne-Rhône-Alpes,,
91300.0,MASSY,Île-de-France,,
29200.0,BREST,Bretagne,,
22000.0,SAINT BRIEUC,Bretagne,,
51300.0,VITRY-LE-FRANCOIS,Grand Est,,
65000.0,TARBES,Occitanie,,
44600.0,SAINT-NAZAIRE,Pays de la Loire,,
27000.0,EVREUX,Normandie,,
26100.0,ROMANS,Auvergne-Rhône-Alpes,,
50000.0,ST LO,Normandie,,
56890.0,Saint-Avé,Bretagne,,
57240.0,NILVANGE,Grand Est,,
61000.0,ALENCON,Normandie,,
37300.0,JOUE-LES-TOURS,Centre-Val de Loire,,
86000.0,POITIERS,Nouvelle-Aquitaine,,
35000.0,RENNES,Bretagne,,
16000.0,ANGOULEME,Nouvelle-Aquitaine,,
14000.0,CAEN,Normandie,,
80000.0,AMIENS,Hauts-de-France,,
42000.0,SAINT-ETIENNE,Auvergne-Rhône-Alpes,,
25000.0,BESANCON,Bourgogne-Franche-Comté,,
39800.0,BRAINANS,Bourgogne-Franche-Comté,,
79000.0,NIORT,Nouvelle-Aquitaine,,
54000.0,NANCY,Grand Est,,
29150.0,CHATEAULIN,Bretagne,,
91000.0,EVRY,Île-de-France,,
13003.0,MARSEILLE,Provence-Alpes-Côte d'Azur,,
95490.0,VAUREAL,Île-de-France,,
93150.0,LE BLANC-MESNIL,Île-de-France,,
64140.0,BILIERE,Nouvelle-Aquitaine,,
77700.0,MAGNY-LE-HONGRE,Île-de-France,,
17000.0,LA ROCHELLE,Nouvelle-Aquitaine,,
77176.0,SAVIGNY-LE-TEMPLE,Île-de-France,,
85000.0,LA ROCHE-SUR-YON,Pays de la Loire,,
78120.0,RAMBOUILLET,Île-de-France,,
46000.0,CAHORS,Occitanie,,
45000.0,ORLEANS,Centre-Val de Loire,,
67000.0,STRASBOURG,Grand Est,,
57000.0,METZ,Grand Est,,
13011.0,MARSEILLE,Provence-Alpes-Côte d'Azur,,
59777.0,LILLE,Hauts-de-France,,
83000.0,TOULON,Provence-Alpes-Côte d'Azur,,
55430.0,BELLEVILLE-SUR-MEUSE,Grand Est,,
41000.0,BLOIS,Centre-Val de Loire,,
33400.0,TALENCE,Nouvelle-Aquitaine,,
53000.0,LAVAL,Pays de la Loire,,
71000.0,MACON,Bourgogne-Franche-Comté,,
97420.0,LE PORT,,,
74000.0,ANNECY,Auvergne-Rhône-Alpes,,
34430.0,SAINT-JEAN-DE-VEDAS,Occitanie,,
49100.0,ANGERS,Pays de la Loire,,
60000.0,BEAUVAIS,Hauts-de-France,,
,FEYZIN | LYON |LYON |VENISSIEUX,Auvergne-Rhône-Alpes,,
51100.0,REIMS,Grand Est,,
,BERGERAC | PERIGUEUX |PERIGUEUX,Nouvelle-Aquitaine,,
38000.0,GRENOBLE,Auvergne-Rhône-Alpes,,
35000.0,RENNES,Bretagne,,
89000.0,AUXERRE,Bourgogne-Franche-Comté,,
35000.0,RENNES,Bretagne,,
84660.0,MAUBEC,Provence-Alpes-Côte d'Azur,,
33700.0,MERIGNAC,Nouvelle-Aquitaine,,
93260.0,LES LILAS,Île-de-France,,
95110.0,SANNOIS,Île-de-France,,
47000.0,AGEN,Nouvelle-Aquitaine,,
33150.0,saint nazaire,Nouvelle-Aquitaine,,
21000.0,DIJON,Bourgogne-Franche-Comté,,
38300.0,BOURGOIN-JALLIEU,Auvergne-Rhône-Alpes,,
13006.0,MARSEILLE,Provence-Alpes-Côte d'Azur,,
,Mont de Marsan |Saint Vincent de Tyrosse,Nouvelle-Aquitaine,,
67000.0,STRASBOURG,Grand Est,,
59200.0,TOURCOING,Hauts-de-France,,
3100.0,MONTLUCON,Auvergne-Rhône-Alpes,,
14200.0,HEROUVILLE-SAINT-CLAIR,Normandie,,
37000.0,TOURS,Centre-Val de Loire,,
82000.0,MONTAUBAN,Occitanie,,
81100.0,CASTRES,Occitanie,,
84000.0,AVIGNON,Provence-Alpes-Côte d'Azur,,
33800.0,BORDEAUX,Nouvelle-Aquitaine,,
1000.0,BOURG-EN-BRESSE,Auvergne-Rhône-Alpes,,
18160.0,LIGNIERES,,,
13013.0,MARSEILLE,Provence-Alpes-Côte d'Azur,,
30000.0,NIMES,Occitanie,,
70360.0,SCEY SUR SAONE,Bourgogne-Franche-Comté,,
86000.0,POITIERS,Nouvelle-Aquitaine,,
60100.0,CREIL,Hauts-de-France,,
56100.0,LORIENT,Bretagne,,
44200.0,NANTES,Pays de la Loire,,
